,parcode,trial,fix_item,fix_time
645,2,11,2,2824
646,2,11,1,1099
648,2,12,2,1316
649,2,12,1,2573
651,2,13,2,1493
652,2,13,1,2933
654,2,14,2,1268
655,2,14,1,1610
656,2,14,2,157
658,2,15,2,1321
659,2,15,1,3424
660,2,15,2,170
662,2,16,2,3227
663,2,16,0,302
664,2,16,1,1866
666,2,17,2,1901
667,2,17,1,3514
668,2,17,2,208
670,2,18,2,3855
671,2,18,1,2154
672,2,18,2,199
674,2,19,2,1340
675,2,19,1,818
676,2,19,2,165
678,2,20,2,1029
679,2,20,1,2462
681,2,21,2,3153
682,2,21,1,2315
684,2,22,2,2869
685,2,22,1,2064
686,2,22,2,1513
687,2,23,3,190
688,2,23,0,422
689,2,23,1,2746
690,2,23,2,1183
692,2,24,2,815
693,2,24,0,624
694,2,24,2,1822
695,2,24,1,730
696,2,25,3,302
697,2,25,0,450
698,2,25,1,1226
699,2,25,2,2257
701,2,26,2,2981
702,2,26,1,2508
704,2,27,2,3134
705,2,27,1,3246
707,2,28,2,1662
708,2,28,1,854
709,2,28,2,869
711,2,29,2,2346
712,2,29,1,2133
714,2,30,2,2491
715,2,30,1,1055
717,2,31,2,807
718,2,31,1,2459
720,2,32,2,990
721,2,32,1,1206
722,2,32,2,71
724,2,33,2,2941
725,2,33,1,867
727,2,34,2,2750
728,2,34,1,1283
730,2,35,2,1857
731,2,35,1,1236
733,2,36,2,1155
734,2,36,1,1460
735,2,36,2,871
737,2,37,2,1335
738,2,37,1,932
739,2,37,2,960
740,2,37,1,2174
742,2,38,2,798
743,2,38,1,2035
745,2,39,2,897
746,2,39,1,849
747,2,40,3,227
748,2,40,2,526
749,2,40,1,164
750,2,40,2,150
751,2,40,1,1356
752,2,40,2,318
754,2,41,2,1106
755,2,41,1,1080
756,2,42,3,492
757,2,42,2,722
758,2,42,1,1589
760,2,43,2,682
761,2,43,1,1020
763,2,44,2,667
764,2,44,1,1485
766,2,45,2,729
767,2,45,1,685
769,2,46,2,700
770,2,46,1,1064
771,2,46,2,215
773,2,47,2,809
774,2,47,1,936
775,2,47,2,184
777,2,48,2,920
778,2,48,1,698
780,2,49,2,690
781,2,49,1,844
783,2,50,2,664
784,2,50,1,720
786,2,51,2,676
787,2,51,1,667
789,2,52,2,687
790,2,52,1,996
792,2,53,2,635
793,2,53,1,1358
794,2,53,2,69
796,2,54,2,720
797,2,54,1,819
799,2,55,2,664
800,2,55,1,686
801,2,55,0,251
802,2,56,3,438
803,2,56,0,274
804,2,56,2,360
805,2,56,1,786
806,2,57,3,164
807,2,57,2,448
808,2,57,1,855
810,2,58,2,696
811,2,58,1,1171
813,2,59,2,774
814,2,59,1,676
816,2,60,2,654
817,2,60,1,1724
819,2,61,2,711
820,2,61,1,1298
821,2,61,2,129
823,2,62,2,769
824,2,62,1,645
826,2,63,2,798
827,2,63,1,1173
829,2,64,2,697
830,2,64,1,1286
832,2,65,2,436
833,2,65,1,1822
835,2,66,2,645
836,2,66,1,755
838,2,67,2,599
839,2,67,1,593
841,2,68,2,377
842,2,68,1,914
844,2,69,2,621
845,2,69,1,414
847,2,70,2,662
848,2,70,1,1274
849,2,70,2,132
851,2,71,2,647
852,2,71,1,517
854,2,72,2,520
855,2,72,1,962
857,2,73,2,638
858,2,73,1,484
860,2,74,2,514
861,2,74,1,1249
863,2,75,2,814
864,2,75,1,1104
865,2,75,2,90
867,2,76,2,571
868,2,76,1,734
869,2,76,0,414
870,2,76,2,112
872,2,77,2,480
873,2,77,0,262
874,2,77,1,1367
876,2,78,2,538
877,2,78,1,1171
879,2,79,2,547
880,2,79,1,689
882,2,80,1,677
883,2,80,2,847
885,2,81,1,917
886,2,81,2,664
888,2,82,1,984
889,2,82,2,917
891,2,83,1,657
892,2,83,2,696
893,2,84,3,360
894,2,84,0,322
895,2,84,1,580
896,2,84,2,715
897,2,85,3,408
898,2,85,1,584
899,2,85,2,710
900,2,85,1,609
901,2,86,3,2641
902,2,86,2,714
903,2,86,1,679
904,2,87,3,3397
905,2,87,2,538
906,2,87,1,561
907,2,88,3,650
908,2,88,0,1568
909,2,88,1,488
910,2,88,2,654
911,2,89,3,1334
912,2,89,2,314
913,2,89,1,870
914,2,90,3,753
915,2,90,2,542
916,2,90,1,952
917,2,90,2,202
918,2,90,1,184
919,2,91,3,444
920,2,91,0,214
921,2,91,1,530
922,2,91,2,635
923,2,92,3,452
924,2,92,1,612
925,2,92,2,813
926,2,93,3,454
927,2,93,1,748
928,2,93,2,392
929,2,94,3,429
930,2,94,1,542
931,2,94,2,641
932,2,95,3,956
933,2,95,2,268
934,2,95,1,578
936,2,96,1,595
937,2,96,2,816
939,2,97,2,771
940,2,97,1,617
942,2,98,2,551
943,2,98,1,807
944,2,99,3,429
945,2,99,1,530
946,2,99,2,676
947,2,99,1,146
948,2,100,3,315
949,2,100,2,242
950,2,100,1,740
951,2,101,3,184
952,2,101,2,262
953,2,101,1,667
954,2,102,3,724
955,2,102,2,252
956,2,102,1,1430
957,2,102,2,139
958,2,103,3,411
959,2,103,1,1158
960,2,104,3,361
961,2,104,1,630
962,2,104,2,616
963,2,104,1,411
965,2,105,2,568
966,2,105,1,577
967,2,106,3,339
968,2,106,1,560
969,2,106,2,628
971,2,107,2,499
972,2,107,1,713
974,2,108,2,456
975,2,108,1,704
977,2,109,2,450
978,2,109,1,648
979,2,110,3,177
980,2,110,2,248
981,2,110,1,632
983,2,111,2,427
984,2,111,1,411
986,2,112,2,413
987,2,112,1,960
988,2,113,3,300
989,2,113,2,486
990,2,113,1,690
991,2,114,3,333
992,2,114,2,244
993,2,114,1,610
995,2,115,2,415
996,2,115,1,632
998,2,116,2,415
999,2,116,1,648
