,parcode,rt,choice,trial,item_left,item_right
104,1,3625,1,104,-1.1361373213813388,0.8987354930329942
105,1,3938,-1,105,1.5770264311711093,1.2378809621020497
106,1,2329,-1,106,1.916171900240165,1.2378809621020497
107,1,2028,-1,107,0.559590023963941,-0.45784638324322857
108,1,1665,1,108,-0.7969918523122831,2.594462838378273
109,1,1580,1,109,-1.8144282595194503,1.2378809621020497
110,1,4189,-1,110,-0.45784638324322685,-1.8144282595194512
111,1,2626,-1,111,-0.45784638324322685,-0.7969918523122846
112,1,3783,1,112,-0.45784638324322685,0.5595900239639386
113,1,2920,-1,113,-0.11870091417417107,-1.1361373213813402
114,1,4843,-1,114,0.559590023963941,0.8987354930329942
115,1,5275,-1,115,0.22044455489488518,-0.45784638324322857
116,1,5630,-1,116,0.8987354930329967,0.22044455489488304
117,1,1871,1,117,-1.1361373213813388,0.5595900239639386
118,1,4173,1,118,-0.7969918523122831,0.5595900239639386
119,1,2828,-1,119,-0.11870091417417107,-0.7969918523122846
120,2,4960,-1,0,0.6987464405187437,-0.5978964387943939
121,2,6438,-1,1,-0.597896438794392,-1.2462178784509617
122,2,5125,-1,2,0.6987464405187437,-1.2462178784509617
123,2,4268,-1,3,0.6987464405187437,-0.5978964387943939
124,2,4726,1,4,-0.597896438794392,0.050425000862173885
125,2,5392,1,5,-0.597896438794392,0.050425000862173885
126,2,3471,1,6,0.6987464405187437,1.5631750267275
127,2,4299,1,7,-0.597896438794392,0.050425000862173885
128,2,4299,1,8,-0.597896438794392,-0.5978964387943939
129,2,4088,-1,9,-0.597896438794392,-1.2462178784509617
130,2,3147,-1,10,1.563175026727502,0.6987464405187417
131,2,3923,-1,11,1.563175026727502,0.6987464405187417
132,2,3889,-1,12,0.050425000862175814,-1.2462178784509617
133,2,4426,-1,13,1.563175026727502,0.6987464405187417
134,2,3035,1,14,-1.2462178784509599,1.5631750267275
135,2,4915,1,15,0.6987464405187437,0.6987464405187417
136,2,5395,1,16,-0.597896438794392,0.050425000862173885
137,2,5623,1,17,0.050425000862175814,-1.2462178784509617
138,2,6208,1,18,0.050425000862175814,0.6987464405187417
139,2,2323,1,19,0.6987464405187437,1.5631750267275
140,2,3491,-1,20,0.050425000862175814,0.6987464405187417
141,2,5468,1,21,-1.2462178784509599,0.6987464405187417
142,2,6446,-1,22,-0.597896438794392,-1.2462178784509617
143,2,4541,1,23,0.050425000862175814,0.050425000862173885
144,2,3991,-1,24,1.563175026727502,-1.8945393181075294
145,2,4235,-1,25,-0.597896438794392,-1.2462178784509617
