,LVal,RVal,AbsDVal,TotVal,AbsDEv,RTsim,Correct_sim,Choice_sim,Conf_human,zConf_human
3133,0.0,0.0,0.0,0.0,0.47165955770482126,1992.0,0,1.0,22,-1.6556944090458148
3134,0.65,0.0,0.65,0.65,1.5234926842831835,2415.0,1,0.0,66,-0.06391245715908822
3135,0.95,2.3,1.3499999999999999,3.25,0.9849406948848989,1466.0,1,1.0,100,1.1661008692988368
3136,1.25,0.35,0.9,1.6,0.3264410384654286,1651.0,1,0.0,84,0.5872710686127545
3137,0.0,0.0,0.0,0.0,0.021909432113203176,2546.0,0,1.0,0,-2.4515853849891784
3138,2.0,3.0,1.0,5.0,0.3738513702819136,4209.0,1,1.0,80,0.4425636184412339
3139,3.0,0.0,3.0,3.0,0.26668424287011616,1222.0,1,0.0,100,1.1661008692988368
3140,0.0,2.0,2.0,2.0,0.9494336250110222,673.0,1,1.0,92,0.8766859689557958
3141,0.0,2.75,2.75,2.75,1.2116282004293966,1630.0,1,1.0,52,-0.5703885327594104
3142,0.5,2.9,2.4,3.4,1.0848946254894305,2469.0,0,0.0,72,0.15314871809819267
3143,2.3,0.95,1.3499999999999999,3.25,0.41856171367381734,1304.0,1,0.0,100,1.1661008692988368
3144,0.35,0.05,0.3,0.39999999999999997,0.13671667017576394,2330.0,0,1.0,100,1.1661008692988368
3145,3.0,2.3,0.7000000000000002,5.3,0.3313746105763271,1804.0,0,1.0,46,-0.7874497080166912
3146,1.1,1.25,0.1499999999999999,2.35,0.502485502885518,3656.0,1,1.0,84,0.5872710686127545
3147,0.0,0.0,0.0,0.0,0.2703546828353852,1848.0,0,1.0,44,-0.8598034331024516
3148,0.35,3.0,2.65,3.35,0.9721896841390202,1448.0,1,1.0,96,1.0213934191273164
3149,0.95,1.95,1.0,2.9,0.9203536262185106,1841.0,1,1.0,70,0.08079499301243237
3150,0.35,1.1,0.7500000000000001,1.4500000000000002,1.3982408436734688,2389.0,1,1.0,36,-1.1492183334454928
3151,1.7,1.25,0.44999999999999996,2.95,1.1775197748912727,1268.0,1,0.0,26,-1.5109869588742944
3152,0.2,1.25,1.05,1.45,0.7004400545770895,1898.0,1,1.0,64,-0.13626618224484854
3153,2.75,2.15,0.6000000000000001,4.9,0.8407482874385591,1789.0,1,0.0,82,0.5149173435269943
3154,0.95,0.65,0.29999999999999993,1.6,0.977638924046627,2499.0,1,0.0,42,-0.932157158188212
3155,2.6,2.0,0.6000000000000001,4.6,0.27117538029400357,2333.0,0,1.0,38,-1.0768646083597324
3156,0.35,0.5,0.15000000000000002,0.85,0.860158248493333,2677.0,1,1.0,72,0.15314871809819267
3157,0.0,2.75,2.75,2.75,0.16919067713930958,1296.0,1,1.0,98,1.0937471442130766
3158,0.5,0.65,0.15000000000000002,1.15,0.7004361209371082,2931.0,0,0.0,88,0.7319785187842751
3159,1.1,2.3,1.1999999999999997,3.4,1.0318932857540077,1045.0,1,1.0,52,-0.5703885327594104
3160,1.95,0.95,1.0,2.9,0.5810794630875025,2744.0,1,0.0,88,0.7319785187842751
3161,1.95,0.2,1.75,2.15,1.3965106988943907,1841.0,1,0.0,86,0.6596247936985148
3162,2.0,0.0,2.0,2.0,0.6543612441466551,1768.0,1,0.0,100,1.1661008692988368
3163,0.35,2.85,2.5,3.2,0.2217804135860152,2771.0,0,0.0,80,0.4425636184412339
3164,0.0,0.0,0.0,0.0,0.19721953803840964,3352.0,0,0.0,50,-0.6427422578451707
3165,0.35,0.5,0.15000000000000002,0.85,0.6289898705730301,1708.0,1,1.0,24,-1.5833406839600546
3166,0.2,0.2,0.0,0.4,0.6467141378301899,2428.0,0,0.0,22,-1.6556944090458148
3167,0.35,1.25,0.9,1.6,0.7944161576570468,2833.0,1,1.0,68,0.00844126792667207
3168,2.15,0.0,2.15,2.15,1.2263238593702683,1511.0,1,0.0,94,0.949039694041556
3169,0.05,2.75,2.7,2.8,0.5357942371589621,1194.0,1,1.0,78,0.3702098933554736
3170,2.6,0.5,2.1,3.1,0.5010342057447359,1972.0,1,0.0,76,0.2978561682697133
3171,0.35,1.25,0.9,1.6,0.5852613579590267,1945.0,1,1.0,82,0.5149173435269943
3172,2.9,1.1,1.7999999999999998,4.0,0.8664740321865151,1486.0,1,0.0,100,1.1661008692988368
3173,0.2,0.05,0.15000000000000002,0.25,0.7835041625569975,2164.0,1,0.0,38,-1.0768646083597324
3174,0.5,2.6,2.1,3.1,1.2834899221865268,3800.0,1,1.0,84,0.5872710686127545
3175,2.75,0.0,2.75,2.75,0.23048313254305886,1784.0,1,0.0,74,0.22550244318395304
3176,2.0,2.6,0.6000000000000001,4.6,1.1194041781388062,1507.0,0,0.0,10,-2.0898167595603767
3177,0.0,0.65,0.65,0.65,1.3041274480586829,2751.0,1,1.0,86,0.6596247936985148
3178,0.0,0.0,0.0,0.0,0.3485397226248602,2030.0,0,1.0,10,-2.0898167595603767
3179,0.2,1.1,0.9000000000000001,1.3,0.5864411579199766,1339.0,1,1.0,80,0.4425636184412339
3180,0.0,2.3,2.3,2.3,0.9597063226023724,2253.0,1,1.0,96,1.0213934191273164
3181,0.0,0.5,0.5,0.5,0.8447616049990192,1595.0,0,0.0,50,-0.6427422578451707
3182,0.65,2.3,1.65,2.9499999999999997,0.3454644337758469,1747.0,1,1.0,70,0.08079499301243237
3183,0.0,2.15,2.15,2.15,0.966561226928136,2579.0,1,1.0,100,1.1661008692988368
3184,3.0,0.35,2.65,3.35,1.2044313619862117,1476.0,1,0.0,100,1.1661008692988368
3185,2.9,0.5,2.4,3.4,1.1894545065676176,1320.0,1,0.0,94,0.949039694041556
3186,2.3,0.95,1.3499999999999999,3.25,1.000983894404974,1115.0,1,0.0,70,0.08079499301243237
3187,0.5,1.7,1.2,2.2,0.27849297429296616,1655.0,1,1.0,36,-1.1492183334454928
3188,0.0,0.65,0.65,0.65,0.9374865562145024,2276.0,1,1.0,48,-0.7150959829309309
3189,2.6,2.75,0.1499999999999999,5.35,0.7356034515634521,2072.0,0,0.0,76,0.2978561682697133
3190,1.1,0.65,0.45000000000000007,1.75,1.3418088141681614,2116.0,1,0.0,42,-0.932157158188212
3191,0.0,0.35,0.35,0.35,0.37603169830809335,3045.0,1,1.0,82,0.5149173435269943
3192,1.25,1.7,0.44999999999999996,2.95,1.3609308190900313,1684.0,1,1.0,78,0.3702098933554736
3193,1.1,1.4,0.2999999999999998,2.5,1.0696751344339366,3453.0,1,1.0,68,0.00844126792667207
3194,2.15,2.75,0.6000000000000001,4.9,1.581105784988539,1525.0,0,0.0,88,0.7319785187842751
3195,1.25,2.15,0.8999999999999999,3.4,1.01622871732841,3281.0,1,1.0,100,1.1661008692988368
3196,2.15,0.5,1.65,2.65,0.9895724512914104,1870.0,1,0.0,92,0.8766859689557958
3197,1.25,0.2,1.05,1.45,0.8236211436849838,1966.0,1,0.0,68,0.00844126792667207
3198,2.3,2.85,0.5500000000000003,5.15,0.09349860986004588,2456.0,1,1.0,76,0.2978561682697133
3199,0.0,0.35,0.35,0.35,0.16979029525983302,2406.0,0,0.0,72,0.15314871809819267
3200,0.35,0.0,0.35,0.35,0.5616832272380006,3201.0,1,0.0,92,0.8766859689557958
3201,0.5,0.95,0.44999999999999996,1.45,0.8096167834596121,1620.0,1,1.0,84,0.5872710686127545
3202,0.0,1.1,1.1,1.1,0.8937756630012067,1546.0,1,1.0,88,0.7319785187842751
3203,1.25,1.1,0.1499999999999999,2.35,0.10968857299835821,3238.0,1,0.0,82,0.5149173435269943
3204,2.75,2.6,0.1499999999999999,5.35,0.6743431997953565,2963.0,0,1.0,96,1.0213934191273164
3205,0.0,3.0,3.0,3.0,0.5901715235588966,2036.0,1,1.0,88,0.7319785187842751
